city,state,country,name,parent_id,unique_id,directions,lat,lon,description,date_created,activities/0/name,activities/0/unique_id,activities/0/place_id,activities/0/activity_type_id,activities/0/activity_type_name,activities/0/url,"activities/0/attribs/""length""","activities/0/attribs/""nightride""",activities/0/description,activities/0/length,activities/0/activity_type/created_at,activities/0/activity_type/id,activities/0/activity_type/name,activities/0/activity_type/updated_at,activities/0/thumbnail,activities/0/rank,activities/0/rating,activities/1/name,activities/1/unique_id,activities/1/place_id,activities/1/activity_type_id,activities/1/activity_type_name,activities/1/url,"activities/1/attribs/""length""",activities/1/description,activities/1/length,activities/1/activity_type/created_at,activities/1/activity_type/id,activities/1/activity_type/name,activities/1/activity_type/updated_at,activities/1/thumbnail,activities/1/rank,activities/1/rating,activities/0/attribs/null,"activities/0/attribs/""type""",activities/2/name,activities/2/unique_id,activities/2/place_id,activities/2/activity_type_id,activities/2/activity_type_name,activities/2/url,"activities/2/attribs/""type""",activities/2/description,activities/2/length,activities/2/activity_type/created_at,activities/2/activity_type/id,activities/2/activity_type/name,activities/2/activity_type/updated_at,activities/2/thumbnail,activities/2/rank,activities/2/rating
Chelan,Washington,United States,Steliko Ridge Trail #1454,,27369,TBD,47.78097,-120.26159,,,Steliko Ridge Trail #1454,1-9812,27369,5,mountain biking,http://www.singletracks.com/item.php?c=1&i=9812,"""6""",null,The Steliko Ridge Trail begins at Forest Service Road 5310 and ends at Forest Service Road 5300. source: fs.usda.gov,6,2012-08-15T16:12:35Z,5,mountain biking,2012-08-15T16:12:35Z,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bishop,California,United States,Pleasant Valley Pit,,24077,.5 miles off of the Pleasant Valley Road,37.361388,-118.399664,"To help defray operating expenses, the Bureau of Land Management (BLM) Bishop Field Office is now charging a fee for camping overnight at the Pleasant Valley Pit Campground. The Campground, which serves winter visitors and is particularly popular with climbers visiting the area, is open from November to early May, has approximately 75 sites and is located .5 miles off of the Pleasant Valley Road. To enjoy your stay, please practice &quot;Leave No Trace&quot; techniques.",,Pleasant Valley Pit,3-10527,24077,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=10527,"""3""",,"Fires, charcoal grills, and portable stoves outside developed campgrounds require a permit, or - depending on the current level of wildfire danger - may not be allowed.  Contact the Public Lands Center (White Mountain Ranger Station) in Bishop to obtain a permit, and read it carefully!",3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durango,Colorado,United States,Snake Charmer,,26509,Raider Ridge,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,California,United States,Midge Creek Group,,10127,"From Clovis, CA, take Highway 168 north 70 miles to the HuntingtonLake Campground office.",37.2575,-119.140556,,,Midge Creek Group,3-4542,10127,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=4542,"""3""",,"Midge Creek Group campground will be closed for the 2011 season.    Badger Group will be open for group reservations.   Midge Creek is a group campground. It&amp;amp;#39;s located about 3 miles  above Huntington Lake. It&amp;amp;#39;s a very quiet rustic area. It&amp;amp;#39;s broken   up into two group areas. One with shady trees, perfect for tents.   The other is a big open area great for RV&amp;amp;#39;s. If you have a group gathering this is perfect.  This facility is operated by California Land Management.  Your comments are appreciated; comment forms are available from campground hosts or directly at    www.clm-services.com. ",3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelan,Washington,United States,Cougar Ridge Trail #1418,,27333,TBD,47.84277,-120.55492,,,Cougar Ridge Trail #1418,1-9759,27333,5,mountain biking,http://www.singletracks.com/item.php?c=1&i=9759,"""7""",null,"The Cougar Ridge Trail begins 10 miles behind gated FS road 5700.  Trailhead not accessible by passenger vechicle, gated road is open to hikers, mountain bikes, motorcycles, stock, and ATVs.  Cougar Ridge Trail ends at Trail #1415. Access to Cougar Mountain Viewpoint Trail, and summit of Cougar Mountain. source: fs.usda.gov",7,2012-08-15T16:12:35Z,5,mountain biking,2012-08-15T16:12:35Z,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandon,Oregon,United States,New River ACEC,,24225,"From US Hwy. 101, travel west at Croft Lake Lane, eight miles south of Bandon, OR. This portion of the New River is known as Storm Ranch. Entry through a gate is year-round, sunrise to sunset.",43.119128,-124.408171,"Running parallel to the Pacific Ocean for nine miles, this coastal river is separated from the ocean by only a thin foredune of sand. Many rare birds, animals, and plants depend on New River's estuary, forest, meadow, wetland, and shrub habitat for survival. Dedicated almost exclusively to Watchable Wildlife, the area remains secluded and primitive, providing nature enthusiasts with short, rustic, self-guided loop trails to view wildlife. There are four main access points to New River ACEC, Storm Ranch, Floras Lake, Lost Lake, and Four Mile.",,New River ACEC,2-8082,24225,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=8082,"""0""",,Beautiful hiking area.,0,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta Junction,Alaska,United States,Coal Mine Road,,1,Go South from Delta Junction head towards Valdez. Once pass Donnly Dome there is a small road on the left if your heading south that says Coal Mine Road. Then there is a fork in the road. One heading to a gravel pit where you park and the other heading up the hill.,63.71018,-145.79942,,,Coal Mine Road,1-68,1,5,mountain biking,http://www.singletracks.com/item.php?c=1&i=68,"""8""",null,"This is a scenic trail. When the weather is good you get a really good view of the Alaskan Range. This trail is an old dirt road used to miners and heads towards the old mining site. Easy dirt road with some hills. Watch for bears, moose, wolf, fox, caribo, and bison.",8,2012-08-15T16:12:35Z,5,mountain biking,2012-08-15T16:12:35Z,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexican Hat,Utah,United States,Slickhorn Canyon,,24368,"37.376296,-109.955149",37.382032,-109.94997,"Hiking in this canyon is rugged. The creek channel is frequently clogged with boulders, and there are many pour-offs and steep talus to be negotiated, challenging even the most experience hiker. Note that pets and stock animals are not allowed in Slickhorn Canyon or its tributaries.

At least four days should be allowed to hike the entire length of the canyon and explore the side canyons. The going is slow. Flash floods can occur at any time. Be aware of weather conditions, especially up-canyon from you.",,Slickhorn Canyon,2-7791,24368,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=7791,"""0""",,"Hiking in this canyon is rugged. The creek channel is frequently clogged with boulders, and there are many pour-offs and steep talus to be negotiated, challenging even the most experience hiker. Note that pets and stock animals are not allowed in Slickhorn Canyon or its tributaries.<br /><br />At least four days should be allowed to hike the entire length of the canyon and explore the side canyons. The going is slow. Flash floods can occur at any time. Be aware of weather conditions, especially up-canyon from you.",0,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plymouth,Wisconsin,United States,Greenbush,,4058,"Between Hwy 67 and 23 on Kettle Moraine Drive.  Can't miss, on the west side of the road.  &lt;br /&gt;&lt;br /&gt;From milwaukee take 43 to N 57 to W 67 to S on A(kettle moraine parkway)  ",43.75046,-88.10325,,,Greenbush,1-3806,4058,5,mountain biking,http://www.singletracks.com/item.php?c=1&i=3806,"""9""",null,"Easy riding, fun, flowy, forested singletrack. Recently redone so the whole trail is singletrack and there are hiking only and biking only areas.  Worth a day trip to, it would be best to ride up, do this for a few hours, hit up mauthe lake and drive down to new fane for another hour or two of singletrack.  Don't forget to pay... they enforce this place very regularly and well. ",9,2012-08-15T16:12:35Z,5,mountain biking,2012-08-15T16:12:35Z,http://images.singletracks.com/2012/05/IMAG0075-0.jpg,,3.9,Greenbush,2-1585,4058,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=1585,"""9""","Greenbush features 9 miles of hiking trails near Plymouth, WI.",9,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,,,0,,,,,,,,,,,,,,,,,,
Keystone,Colorado,United States,Westridge Loop,,928,From I-70 head east on HWY 6 towards Keystone. At the stoplight just before Keystone turn right onto Keystone Rd. Turn Immediately left. Cross the Snake river and turn right onto Soda Ridge Rd. After .4 miles turn left onto Keystone Gulch Rd. and park at the gate.&lt;br /&gt;,39.59936,-105.97488,,,Westridge Loop,1-2697,928,5,mountain biking,http://www.singletracks.com/item.php?c=1&i=2697,"""18""",null,"This loop is actually several trails which all connect to each other and form the loop. Start out riding up Keystone Gulch. You will climb gradually on this fairly well maintained dirt road for about 4.5 miles. Just after the road veers left, after the third chairlift, look for a road taking off to the right near a large maintenance building. There is a sign here but the day I rode this it was wrapped in plastic and leaning against a tree. At about 5 miles and crossing two ski runs, take the road to the right. Look for a round sign with a blue arrow. There are also bright red signs with bicycle symbol on them marking the trail. Many of these signs however are in disrepair so don't rely on them, but if you do see one you will know you are on the right trail. At this point the trail goes down through a meadow and accross a very small stream. After you cross the stream begin the climb up the westridge to the Colorado Trail. After about three miles the trail intersects the Colorado Trail. At this point you should see the markers (a triangle symbol) identifying the Colorado Trail. Take the sharp right here. Meander across the westridge for a few miles and stay left at the next fork (appx. 8 mi.) If you go right here you will go back down to Keystone gulch. From here the Colorado Trail begins it's long and fast descent toward Breckenridge. After a couple miles descending, the Colorado Trail will make a VERY sharp turn to the left and Red's trail will be the straight option. I believe there is a post at this intersection. Go straight onto Red's Trail and follow the narrow singletrack along a steep hillside and eventually back into the forest. After a few more miles this trail will terminate with a choice of dirt road to the left or more singletrack to the right. Take the single track to the right which is Keystone Ranch Trail. Follow this trail for a few miles. The golf course will be on your left. Cross a few roads and this trail will turn into the Aqueduct trail. Follow the aquaduct trail around the mountain and back to Keystone gulch. Once you come out on the road turn left back to your car.",18,2012-08-15T16:12:35Z,5,mountain biking,2012-08-15T16:12:35Z,http://images.singletracks.com/2009/trails/02/2697-1217216939.jpg,,3.14,Westridge Loop,2-562,928,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=562,"""18""","Westridge Loop is a network of trails that forms a loop near Keyston, CO. This trail takes you along the mountainside where you'll hike through dense forests and open areas where you you'll get stunning views of the area. At one point the trail crosses the Colorado Trail.&lt;br /&gt;<br />This is a multi-use trail, so please share the path.",18,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,,,0,,,,,,,,,,,,,,,,,,
